"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.8498670541032546, 0.03130295544979365, 0.017124220193681955, 0.018805621685823122, 0.03610101406440306, 0.008442605962774961, 0.038356528540268255]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.8986784174591637, 0.02609325014633246, 0.010473987360924792, 0.014392805097427326, 0.030163375856081278, 0.012472944487544168, 0.007725219592526361]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.8787918347324547, 0.031261802910743944, 0.01300686511779553, 0.014248418490379864, 0.04590470339893751, 0.004502982170705688, 0.012283393178982775]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.8737147614771879, 0.03478380115239705, 0.0093345832524961, 0.015392838968655231, 0.04123253998055551, 0.015519123296275706, 0.010022351872432826]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.6037571729812901, 0.1342952943223763, 0.020186991359908795, 0.10171071132767319, 0.10202683845305646, 0.020081335687243754, 0.017941655868451433]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.7829921398596983, 0.15758352969213843, 0.00453580378873087, 0.01620659789777646, 0.026933900442054896, 0.007891766165164302, 0.003856262154436476]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.7229414044941008, 0.1834527894467828, 0.006730662613123928, 0.007238573920836282, 0.04348610024668868, 0.027624634902057167, 0.008525834376410435]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.8594794277463131, 0.09035596627032944, 0.004086966006583775, 0.005011351372433842, 0.02495549061406726, 0.008592674979279229, 0.007518123010993081]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.517554226507774, 0.1860933874599944, 0.020683350338630103, 0.015935220935365473, 0.12213367845162248, 0.11189240170833635, 0.0257077345982767]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.4769277766358155, 0.1207407302682539, 0.0346936091337759, 0.021338965921551174, 0.12452749888099598, 0.19202882846118355, 0.029742590698424318]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.39016602502915176, 0.09294958249832903, 0.07796206140081695, 0.04854299167129645, 0.20153944830262407, 0.1539858838648754, 0.03485400723290615]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.3375453829337022, 0.1172851787834807, 0.08720488953320762, 0.04475582500283076, 0.2352870494515281, 0.1390698028350622, 0.03885187146018832]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.47277186611357686, 0.08326235627635019, 0.06308360370086231, 0.03283015386894427, 0.1280364919848184, 0.1910874236328165, 0.02892810442263188]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.6688393197876836, 0.07839525950848478, 0.04535327910344424, 0.014256224733146031, 0.0570311447248348, 0.12069368693241213, 0.015431085209994654]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.8024681241664212, 0.025100584879101145, 0.034980184671728656, 0.010817535223126304, 0.049518095854370114, 0.06462164044407871, 0.012493834761173689]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.9363295947295782, 0.012257344378423225, 0.012208582034237709, 0.0031016528861053465, 0.015288850967384984, 0.01730002342650505, 0.003513951577765553]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.9271585464745792, 0.01845312488796508, 0.007848197236831897, 0.0037520919181121787, 0.023977207203722747, 0.014693359923055946, 0.0041174723557333105]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.9105777098473761, 0.019619461888546776, 0.009221523712594817, 0.0056730092183104, 0.034484931513943225, 0.01487040088885134, 0.005552962930377743]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.9588702116326532, 0.0036824746802413925, 0.011438058049306985, 0.002192776221695867, 0.011725939477577498, 0.00931539871169501, 0.00277514122683009]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.7584146638672519, 0.0283025040902172, 0.05382130793359363, 0.027804622875785903, 0.09753555061835542, 0.018658652212506142, 0.015462698402289617]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.8658932765503796, 0.012499644062071213, 0.0336841779829594, 0.013409116096176291, 0.0549474751424584, 0.011883612075395027, 0.007682698090559761]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.7346156837006019, 0.024968327542035915, 0.05506421394740729, 0.019888272207030273, 0.07485547208516924, 0.07445477626372449, 0.01615325425403147]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.5192541973027129, 0.08417661651089123, 0.05907363304021564, 0.02855563354336385, 0.1031010948772123, 0.1818304461065506, 0.02400837861905348]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.5089465928001281, 0.07512973104645582, 0.04977599369917201, 0.026889072159660975, 0.14990737354667105, 0.16462241963845495, 0.02472881710945729]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.6840301439170025, 0.0756970410571248, 0.031391797076627086, 0.022205056808551168, 0.08106120284840158, 0.09209814108531983, 0.01351661720697288]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.809286081640605, 0.055610704570559756, 0.013180077884168185, 0.006593938609444604, 0.05091578604852077, 0.05725849103531865, 0.007154920211382641]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.7109875972274665, 0.14674749640634427, 0.010492302886775702, 0.007372743081371213, 0.04673546044099107, 0.0704617299773303, 0.007202669979720619]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.601506317277537, 0.3482817268159324, 0.0046288970716761475, 0.0039272230163674635, 0.017097356849203535, 0.02142997153517795, 0.003128507434105181]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.32781109389545043, 0.3522206600784647, 0.11401884214597258, 0.03742494594809901, 0.09511789027454201, 0.049815110267883524, 0.023591457389587893]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.34981951654070687, 0.48135527340489886, 0.043516755766424, 0.03159626974362299, 0.03597148624216269, 0.0426275926561975, 0.015113105645987081]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.5306060487230039, 0.38260784503011214, 0.021502537526223865, 0.026576471873564843, 0.01727045082960171, 0.014833176827296282, 0.006603469190197456]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.8501338473507576, 0.1252219465116638, 0.003569642115357182, 0.010258864672929566, 0.005763307636453418, 0.002955475623439237, 0.002096916089399456]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.935850254887615, 0.0039215820566441875, 0.005040212520915658, 0.027844020000224564, 0.015014548813307127, 0.0068851772767206335, 0.00544420444457283]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.9678295388542727, 0.002694901832636963, 0.0019437067384724964, 0.014473202139250472, 0.008944212848476478, 0.0024916770095595882, 0.0016227605773312958]",
"['neutral', 'happiness', 'sadness', 'anger', 'fear', 'surprise', 'disgust']","[0.9561375571703865, 0.010456918425617013, 0.0024161223365708586, 0.010160953737190576, 0.015713102271250442, 0.0029243900633960027, 0.002190955995588954]",
